accession	type	adm1	adm2	adm3	adm4	x	y	year_charac	select	from_gps	elev_mean	elev_median
236288	farmer variety	Tigray	MISRAKAWI	GANTA AFESHUM	Chenkele Senkata 8Km. to Hosaena	NA	NA	NA	FALSE	TRUE	NA	NA
236291	farmer variety	Tigray	MEHAKELEGNAW	ADWA	Gendafat 81Km. Adigrat to Adwa	NA	NA	NA	FALSE	TRUE	NA	NA
236295	farmer variety	Tigray	MEHAKELEGNAW	LAELAY MAYCHEW	Lesalso 16Km. Adwa to Axum	NA	NA	NA	FALSE	TRUE	NA	NA
236296	farmer variety	Tigray	MEHAKELEGNAW	LAELAY MAYCHEW	Meikeskas	NA	NA	NA	FALSE	TRUE	NA	NA
236297	farmer variety	Tigray	MEHAKELEGNAW	LAELAY MAYCHEW	Semeret Adwa 28Km. to Axum 2Km. Nadse	NA	NA	NA	FALSE	TRUE	NA	NA
236300	farmer variety	Tigray	MEHAKELEGNAW	TAHTAY MAYCHEW	Axum 15Km. to Shire	NA	NA	NA	FALSE	TRUE	NA	NA
236301	farmer variety	Amhara	SEMEN GONDAR	ADDI ARKAY	Diba Bahir Adi-Arkay 63Km. to Gonder Llimalimo	NA	NA	NA	FALSE	TRUE	NA	NA
236308	farmer variety	Amhara	MIRAB GOJAM	ADET	Adet 14km to Bahirder	37.41222222	11.36861111	NA	TRUE	TRUE	944.9322034	949
236313	farmer variety	Amhara	MISRAK GOJAM	ENARJ ENAWGA	Debrework 3km  to motta	NA	NA	NA	FALSE	TRUE	NA	NA
236982	farmer variety	Oromia	ARSSI	DODOTANA SIRE	Horo Adi, 19Km from Itaya town	39.333333	8.283333	2003	FALSE	TRUE	445.6	445
236984	farmer variety	Oromia	ARSSI	SERU	Mechaka Mariam, 6Km from Seru	40.2	7.666667	NA	FALSE	TRUE	937.4833333	916
236986	farmer variety	Amhara	SEMEN SHEWA	MINJARNA SHENKORA	10km North of Shenkora town	39.333333	9.5	2003	FALSE	TRUE	1599.366667	1604.5
236987	farmer variety	Amhara	SEMEN SHEWA	MINJARNA SHENKORA	13km North of Shenkora town	39.333333	9.5	2000	FALSE	TRUE	1599.366667	1604.5
236988	farmer variety	Oromia	MISRAK SHEWA	GIMBICHU	4km. From Gembichu town to east	39.166667	8.916667	NA	FALSE	TRUE	910.1833333	909
236989	farmer variety	Oromia	MISRAK SHEWA	GIMBICHU	4km. From Gembichu town to east	39.166667	8.916667	2003	FALSE	TRUE	910.1833333	909
238117	farmer variety	Tigray	MEHAKELEGNAW	ADWA	18km Adwa Temben Rd	38.066667	14.033333	1998	FALSE	TRUE	160.7666667	152.5
238119	farmer variety	Tigray	MEHAKELEGNAW	WERIE LEHE	31km away from Adwa to Edaga arbi	38.066667	14.066667	1998	TRUE	TRUE	247.7333333	247
238120	farmer variety	Tigray	MEHAKELEGNAW	WERIE LEHE	Edaga Arbi around the town it self	39.583333	13.066667	1998	FALSE	TRUE	1328.05	1343.5
238121	farmer variety	Tigray	MEHAKELEGNAW	WERIE LEHE	15km from Edaga arbi to Nebelet	39.583333	13.066667	1998	FALSE	TRUE	1328.05	1343.5
238122	farmer variety	Tigray	MEHAKELEGNAW	WERIE LEHE	25km from Edaga arbi to Nebelet	39.583333	13.066667	1998	FALSE	TRUE	1328.05	1343.5
238125	farmer variety	Tigray	MEHAKELEGNAW	ADWA	Lailai Gunia 15 km. From Adwa	38.066667	14.033333	1998	FALSE	TRUE	160.7666667	152.5
238126	farmer variety	Tigray	MEHAKELEGNAW	ADWA	23km Adwa to Adegrat Road	38.066667	14.033333	1998	FALSE	TRUE	160.7666667	152.5
238130	farmer variety	Tigray	MISRAKAWI	HAWZEN	17km. From Hawzen to Senkata	39.866667	14.166667	NA	FALSE	TRUE	66	51.5
238133	farmer variety	Tigray	MISRAKAWI	ATSBI WENBERTA	16km. From Wukro to Atsibi	39.133333	13.15	NA	FALSE	TRUE	414.8833333	408
238139	farmer variety	Amhara	MISRAK GOJAM	GUZAMN	15km. D markos to A.A	37.15	14.033333	NA	FALSE	TRUE	867.6833333	52.5
238340	farmer variety	NA	NA	NA	NA	NA	NA	NA	FALSE	TRUE	NA	NA
