maxDT_veg,minDT_veg,maxNT_veg,minNT_veg,DTR_veg,minDT_rep,maxNT_rep,minNT_rep,DTR_rep,maxDT_gra,maxNT_gra,minNT_gra,DTR_gra,maxDT_sow2rep,minDT_sow2rep,maxNT_sow2rep,minNT_sow2rep,DTR_sow2rep,maxDT_sow2gra,minDT_sow2gra,maxNT_sow2gra,minNT_sow2gra,DTR_sow2gra,MLDS_veg,MLWS_veg,R10mm_veg,R20mm_veg,SDII_veg,Rx1day_veg,Rx5day_veg,Rtotal_veg,MLDS_rep,Rtotal_rep,MLWS_sow2rep,R10mm_sow2rep,R20mm_sow2rep,SDII_sow2rep,Rx1day_sow2rep,Rx5day_sow2rep,Rtotal_sow2rep,MLDS_sow2gra,MLWS_sow2gra,R10mm_sow2gra,R20mm_sow2gra,SDII_sow2gra,Rx1day_sow2gra,Rx5day_sow2gra,Rtotal_sow2gra,year,lat,lon,id
27.95,22.77,16.63,12.48,11.089358974358975,22.45,15.29,12.06,13.525833333333333,28.81,15.43,8.86,13.743255813953487,28.5,22.45,16.63,12.48,11.39655172413793,28.81,22.45,16.63,8.86,12.17276923076923,4,45,2,0,4.00741935483871,10.94,38.77,241.47,19,8.15,45,2,0,4.02758064516129,10.94,38.77,241.47,23,45,3,0,4.193478260869566,11.74,38.77,272.46,2015,8.945972,39.087972,85
21.58,16.51,13.33,9.32,7.644931506849315,16.54,11.92,7,8.515,22.57,10.99,5.53,11.790851063829788,21.58,16.51,13.33,9.32,7.635595238095238,22.57,16.51,13.33,5.53,9.126412213740458,1,45,10,0,6.1968571428571435,17.89,60.64,431.82,9,77.61,45,11,0,6.207692307692308,17.89,60.64,481.24,45,45,11,0,6.17375,17.89,60.64,485.47,2014,9.789583,39.183333,86
26.07,20.34,16.19,10.08,9.862987012987013,23.25,13.13,9.19,13.818076923076923,27.38,13.93,8.08,14.257142857142856,26.07,20.34,16.19,9.85,10.349318181818182,27.38,20.34,16.19,8.08,11.747007299270074,6,55,3,0,4.642463768115942,12.65,43.12,316.57,19,1.03,55,3,0,4.66536231884058,12.65,43.12,316.57,21,55,3,0,4.5475,12.65,43.12,330.08,2014,8.947222,39.095611,90
29.08,20.53,16.63,11.63,11.27328947368421,22.01,14.62,11.5,13.245217391304347,27.88,14.62,8.58,13.162916666666666,29.08,20.53,16.63,11.5,11.539880952380953,29.08,20.53,16.63,8.58,12.130075757575758,26,9,4,1,11.7415,90.51,128.75,227.70000000000002,9,4.99,9,4,1,11.399047619047618,90.51,128.75,229.97,26,9,4,1,9.143333333333334,90.51,128.75,259.4,2015,13.3658,39.0839,92
25.7,20.88,15.23,9.23,10.159102564102565,22.34,13.75,9.23,12.483846153846153,25.48,13.75,5.38,14.182127659574467,25.7,20.88,15.23,9.23,10.473932584269663,25.7,20.88,15.23,5.38,11.755441176470589,18,20,2,4,6.348717948717948,22.72,74.23,240.02,13,3.87,20,2,4,6.28125,22.72,74.23,242.24,30,20,2,4,6.148809523809524,22.72,74.23,247.73,2013,13.3742,39.0925,94
25.7,19.68,15.37,10.93,9.177702702702703,21.2,14.06,9.23,12.030416666666666,24.69,13.75,5.38,13.484901960784313,25.7,19.68,15.37,10.26,9.529759036144577,25.7,19.68,15.37,5.38,11.035074626865672,10,32,9,4,7.225882352941176,22.72,74.23,361.08,18,17.42,32,9,4,7.228627450980393,22.72,74.23,361.08,30,32,9,4,7.019629629629629,22.72,74.23,368.79,2013,13.3846,39.0824,95
29.08,20.53,16.63,12.1,10.735657894736843,22.01,14.51,11.5,13.496296296296297,27.88,14.62,8.58,13.287083333333333,29.08,20.53,16.63,11.63,11.118977272727273,29.08,20.53,16.63,8.58,11.884191176470589,26,15,7,1,10.96925925925926,90.51,128.75,289,9,4.99,15,7,1,10.672857142857143,90.51,128.75,290.53000000000003,26,15,7,1,8.88342105263158,90.51,128.75,322.23,2015,13.3742,39.0925,96
29.08,20.53,16.63,12.1,10.530833333333334,22.01,14.87,11.63,13.149565217391304,27.88,14.62,8.58,13.459259259259259,29.08,20.53,16.63,12.1,10.7535,29.08,20.53,16.63,8.58,11.843880597014925,26,15,7,2,12.013571428571428,90.51,128.75,329.55,8,2.7199999999999998,15,7,2,11.667241379310346,90.51,128.75,330.74,26,15,7,2,9.464,90.51,128.75,363.97,2015,13.3946,39.0748,97
29.08,20.53,16.63,12.78,10.415584415584416,24.72,15.15,12.1,12.697916666666666,27.88,14.62,8.84,13.411836734693876,29.08,20.53,16.63,12.1,10.696627906976744,29.08,20.53,16.63,8.84,11.682148148148148,26,15,8,2,10.046000000000001,90.51,128.75,395.53000000000003,11,2.98,15,8,2,10.087250000000001,90.51,128.75,395.53000000000003,26,15,8,2,8.952553191489361,90.51,128.75,407.23,2015,13.3658,39.0839,98
29.08,20.53,16.63,12.55,10.397808219178081,22.01,15.15,11.63,12.52,27.88,14.62,8.58,13.718039215686275,29.08,20.53,16.63,12.1,10.729638554216868,29.08,20.53,16.63,8.58,11.867014925373134,26,15,7,2,10.744117647058824,90.51,128.75,358.3,11,4.51,15,7,2,10.491714285714286,90.51,128.75,359.49,26,15,7,2,9.361219512195122,90.51,128.75,370,2015,13.3742,39.0925,99
