id,year,region,lat,lon,type
302,2014,Oromia,9.895028,39.19975,Farm trial
303,2014,Amhara,11.77811,39.01889,Farm trial
305,2015,Oromia,8.944028,39.175028,Farm trial
306,2014,Oromia,8.976194,39.077333,Farm trial
307,2014,Amhara,11.70984,38.76229,Farm trial
308,2015,Oromia,8.947972,39.175333,Farm trial
309,2015,Oromia,8.973111,39.089306,Farm trial
310,2014,Oromia,8.727833,39.207444,Farm trial
311,2014,Amhara,11.68473,38.69461,Farm trial
313,2014,Amhara,11.77682,39.02338,Farm trial
314,2014,Amhara,11.64416,38.92364,Farm trial
315,2014,Amhara,11.64366,38.92412,Farm trial
316,2014,Amhara,11.64902,38.92008,Farm trial
317,2014,Oromia,9.859028,39.188417,Farm trial
318,2014,Oromia,9.915333,39.186125,Farm trial
319,2014,Oromia,8.768694,39.278333,Farm trial
320,2014,Oromia,8.949472,39.079222,Farm trial
321,2014,Oromia,8.729889,39.211306,Farm trial
322,2014,Oromia,9.799222,39.179972,Farm trial
323,2014,Oromia,9.917917,39.174806,Farm trial
324,2015,Oromia,9.042556,39.177389,Farm trial
325,2015,Oromia,8.762778,39.249972,Farm trial
326,2014,Oromia,9.857944,39.187444,Farm trial
327,2013,Tigray,13.3742,39.0925,Farm trial
328,2014,Amhara,11.705506,38.967908,Farm trial
329,2014,Oromia,9.8575,39.189694,Farm trial
330,2014,Amhara,11.708637,38.961327,Farm trial
331,2014,Oromia,8.949278,39.182111,Farm trial
332,2015,Oromia,9.043722,39.179167,Farm trial
333,2015,Oromia,8.944556,39.083528,Farm trial
334,2015,Oromia,8.944028,39.175028,Farm trial
335,2014,Oromia,10.007222,39.240972,Farm trial
336,2014,Oromia,8.960139,39.180111,Farm trial
337,2014,Oromia,8.947222,39.096194,Farm trial
338,2014,Oromia,9.80025,39.176,Farm trial
339,2014,Oromia,9.874639,39.170167,Farm trial
340,2015,Oromia,9.801222,39.181111,Farm trial
341,2015,Oromia,8.940944,39.184917,Farm trial
342,2014,Amhara,11.725637,38.749085,Farm trial
343,2015,Oromia,8.944028,39.175028,Farm trial
344,2015,Oromia,9.053278,39.180889,Farm trial
345,2015,Oromia,8.729361,39.238528,Farm trial
346,2014,Oromia,8.935417,39.085611,Farm trial
347,2015,Oromia,8.974722,39.080167,Farm trial
348,2015,Oromia,8.767417,39.252056,Farm trial
349,2015,Oromia,8.784889,39.227472,Farm trial
350,2015,Oromia,8.944028,39.175028,Farm trial
351,2014,Oromia,9.895972,39.19675,Farm trial
352,2014,Oromia,10.009083,39.239778,Farm trial
353,2014,Amhara,11.67813,38.69022,Farm trial
354,2015,Oromia,8.732444,39.242694,Farm trial
356,2014,Oromia,9.925667,39.184972,Farm trial
357,2014,Amhara,11.77882,39.02172,Farm trial
359,2015,Oromia,8.762389,39.251806,Farm trial
360,2015,Oromia,9.042556,39.177389,Farm trial
