id,year,region,zone,district,kebele,lon,lat,planting_date,season
193,2014,Oromia,North Shoa,Moret and Jiru,Burtilik,39.18013889,9.862611111,01/08/2014,Meher-14
194,2014,Oromia,North Shoa,Moret and Jiru,Burtilik,39.15722222,9.896305556,01/08/2014,Meher-14
195,2014,Oromia,North Shoa,Moret and Jiru,Burtilik,39.17536111,9.868805556,01/08/2014,Meher-14
196,2014,Oromia,North Shoa,Moret and Jiru,Burtilik,39.17827778,9.871083333,01/08/2014,Meher-14
197,2014,Oromia,North Shoa,Moret and Jiru,Burtilik,39.17483333,9.866111111,01/08/2014,Meher-14
198,2014,Oromia,North Shoa,Moret and Jiru,Burtilik,39.17538889,9.868638889,01/08/2014,Meher-14
199,2014,Oromia,North Shoa,Moret and Jiru,Mangodo,39.1865,9.858583333,18/07/2014,Meher-14
201,2014,Oromia,North Shoa,Moret and Jiru,Mangodo,39.18744444,9.857944444,29/07/2014,Meher-14
202,2014,Oromia,North Shoa,Moret and Jiru,Mangodo,39.19505556,9.864888889,02/08/2014,Meher-14
204,2014,Oromia,North Shoa,Moret and Jiru,Mangodo,39.18925,9.857833333,05/08/2014,Meher-14
207,2014,Oromia,North Shoa,Moret and Jiru,Mangodo,39.18969444,9.8575,02/07/2014,Meher-14
209,2014,Oromia,North Shoa,Moret and Jiru,Mangodo,39.19063889,9.856416667,05/08/2014,Meher-14
211,2014,Oromia,North Shoa,Moret and Jiru,Mangodo,39.19133333,9.856305556,05/08/2014,Meher-14
212,2014,Oromia,North Shoa,Moret and Jiru,Mangodo,39.19033333,9.856944444,29/07/2014,Meher-14
215,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.19044444,9.780333333,07/08/2014,Meher-14
216,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.18988889,9.778638889,07/08/2014,Meher-14
217,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.19077778,9.773888889,25/07/2014,Meher-14
218,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.19366667,9.782805556,05/08/2014,Meher-14
219,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.19488889,9.771833333,08/08/2014,Meher-14
220,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.19025,9.781361111,05/08/2014,Meher-14
221,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.19388889,9.786333333,05/08/2014,Meher-14
222,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.19366667,9.787416667,02/08/2014,Meher-14
223,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.19102778,9.779694444,30/07/2014,Meher-14
224,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.19630556,9.778944444,07/08/2014,Meher-14
225,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.19280556,9.78,30/07/2014,Meher-14
226,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.19122222,9.773,05/08/2014,Meher-14
227,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.19130556,9.781833333,08/08/2014,Meher-14
228,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.19116667,9.785666667,08/08/2014,Meher-14
229,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.19075,9.784833333,02/08/2014,Meher-14
230,2014,Oromia,North Shoa,Seadebir and Wayo,Wole,39.18847222,9.780583333,02/08/2014,Meher-14
231,2014,Oromia,North Shoa,Seadebir and Wayo,Dire,39.12475,9.781666667,24/07/2014,Meher-14
232,2014,Oromia,North Shoa,Seadebir and Wayo,Dire,39.13955556,9.778222222,29/07/2014,Meher-14
234,2014,Oromia,North Shoa,Seadebir and Wayo,Dire,39.14186808,9.808288153,27/09/2014,Meher-14
235,2014,Oromia,North Shoa,Seadebir and Wayo,Dire,39.12508333,9.783833333,25/07/2014,Meher-14
238,2014,Oromia,North Shoa,Seadebir and Wayo,Dire,39.12269444,9.783055556,06/08/2014,Meher-14
239,2014,Oromia,North Shoa,Seadebir and Wayo,Dire,39.13361111,9.784722222,04/08/2014,Meher-14
241,2014,Oromia,North Shoa,Seadebir and Wayo,Dire,39.12344444,9.78175,25/07/2014,Meher-14
243,2014,Oromia,North Shoa,Seadebir and Wayo,Dire,39.12602778,9.763972222,29/07/2014,Meher-14
247,2014,Oromia,North Shoa,Seadebir and Wayo,Dire,39.14186808,9.808288153,27/09/2014,Meher-14
250,2014,Oromia,North Shoa,Moret and Jiru,Kosiamba,39.23972222,10.00297222,01/08/2014,Meher-14
251,2014,Oromia,North Shoa,Moret and Jiru,Kosiamba,39.24097222,10.00722222,27/07/2014,Meher-14
252,2014,Oromia,North Shoa,Moret and Jiru,Kosiamba,39.23366667,10.01605556,01/07/2014,Meher-14
253,2014,Oromia,North Shoa,Moret and Jiru,Kosiamba,39.24063889,10.01622222,31/07/2014,Meher-14
254,2014,Oromia,North Shoa,Moret and Jiru,Kosiamba,39.2475,10.01041667,29/07/2014,Meher-14
255,2014,Oromia,North Shoa,Moret and Jiru,Kosiamba,39.24163889,10.00861111,03/08/2014,Meher-14
