id,genotype,accession,plot_id,year,region,zone,district,kebele,lon,lat,gy_gm,farmer_rank,planting_date,season,gy_gm_raw,plot_size
34,204936,204936,2,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24272222,8.786638889,312.5,4,2014-07-24,Meher-14,500,1.6
34,208140,208140,3,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24272222,8.786638889,195.625,2,2014-07-24,Meher-14,313,1.6
34,226535,226535,1,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24272222,8.786638889,187.5,3,2014-07-24,Meher-14,300,1.6
34,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24272222,8.786638889,250,1,2014-07-24,Meher-14,400,1.6
35,222373,222373,3,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23452778,8.7795,436.875,2,2014-07-22,Meher-14,699,1.6
35,8034,8034,2,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23452778,8.7795,436.25,4,2014-07-22,Meher-14,698,1.6
35,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23452778,8.7795,444.375,1,2014-07-22,Meher-14,711,1.6
36,028ET_D,208136,2,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24319444,8.783055556,833.125,4,2014-07-22,Meher-14,1333,1.6
36,214306,214306,3,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24319444,8.783055556,630.625,3,2014-07-22,Meher-14,1009,1.6
36,214462,214462,1,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24319444,8.783055556,855,1,2014-07-22,Meher-14,1368,1.6
36,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.24319444,8.783055556,NA,2,2014-07-22,Meher-14,1455,1.6
37,5684,5684,3,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.22844444,8.785111111,408.125,4,2014-07-24,Meher-14,653,1.6
37,6891,6891,1,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.22844444,8.785111111,381.875,2,2014-07-24,Meher-14,611,1.6
37,8175,8175,2,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.22844444,8.785111111,423.125,3,2014-07-24,Meher-14,677,1.6
37,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.22844444,8.785111111,455.625,1,2014-07-24,Meher-14,729,1.6
38,204936,204936,3,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.22677778,8.784305556,269.375,4,2014-07-24,Meher-14,431,1.6
38,226157,226157,1,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.22677778,8.784305556,308.75,3,2014-07-24,Meher-14,494,1.6
38,226535,226535,2,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.22677778,8.784305556,403.125,2,2014-07-24,Meher-14,645,1.6
38,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.22677778,8.784305556,336.875,1,2014-07-24,Meher-14,539,1.6
42,203940,203940,3,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23283333,8.779666667,416.25,2,2014-08-24,Meher-14,666,1.6
42,035ET_D,208190,1,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23283333,8.779666667,345.625,3,2014-08-24,Meher-14,553,1.6
42,222372,222372,2,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23283333,8.779666667,408.75,4,2014-08-24,Meher-14,654,1.6
42,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23283333,8.779666667,481.875,1,2014-08-24,Meher-14,771,1.6
43,005ET_D,5634,1,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23752778,8.785111111,275,3,2014-07-22,Meher-14,440,1.6
43,8034,8034,3,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23752778,8.785111111,408.125,2,2014-07-22,Meher-14,653,1.6
43,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23752778,8.785111111,331.25,1,2014-07-22,Meher-14,530,1.6
45,214306,214306,1,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23877778,8.781361111,333.125,3,2014-07-22,Meher-14,533,1.6
45,6891,6891,2,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23877778,8.781361111,379.375,4,2014-07-22,Meher-14,607,1.6
45,8175,8175,3,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23877778,8.781361111,431.25,2,2014-07-22,Meher-14,690,1.6
45,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Ejere Finchawa,39.23877778,8.781361111,476.875,1,2014-07-22,Meher-14,763,1.6
48,203940,203940,1,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27705556,8.771833333,495,3,2014-07-18,Meher-14,792,1.6
48,003ET_D,5588,3,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27705556,8.771833333,469.375,2,2014-07-18,Meher-14,751,1.6
48,005ET_D,5634,2,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27705556,8.771833333,525,4,2014-07-18,Meher-14,840,1.6
48,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27705556,8.771833333,400,1,2014-07-18,Meher-14,640,1.6
49,214306,214306,1,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27366667,8.764638889,316.875,3,2014-07-22,Meher-14,507,1.6
49,6891,6891,2,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27366667,8.764638889,325,4,2014-07-22,Meher-14,520,1.6
49,8175,8175,3,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27366667,8.764638889,468.125,2,2014-07-22,Meher-14,749,1.6
49,390ET_D,hitosa,4,2014,Oromia,East Oromia,Lume,Tikurgebru,39.27366667,8.764638889,345,1,2014-07-22,Meher-14,552,1.6
50,226157,226157,2,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26997222,8.769805556,86.875,2,2014-07-21,Meher-14,139,1.6
50,226535,226535,3,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26997222,8.769805556,67.5,3,2014-07-21,Meher-14,108,1.6
50,5684,5684,1,2014,Oromia,East Oromia,Lume,Tikurgebru,39.26997222,8.769805556,58.75,4,2014-07-21,Meher-14,94,1.6
