ID	DNA_CODE	SPECIES	TYPE
mediterranean_dw_18	MED01_D	durum_wheat	improved
mediterranean_dw_19	MED02_D	durum_wheat	improved
mediterranean_dw_20	MED03_D	durum_wheat	improved
mediterranean_dw_21	MED04_D	durum_wheat	improved
mediterranean_dw_22	MED05_D	durum_wheat	improved
mediterranean_dw_23	MED06_D	durum_wheat	improved
mediterranean_dw_24	MED07_D	durum_wheat	improved
mediterranean_dw_25	MED08_D	durum_wheat	improved
mediterranean_dw_26	MED09_D	durum_wheat	improved
mediterranean_dw_27	MED10_D	durum_wheat	improved
mediterranean_dw_28	MED11_D	durum_wheat	improved
mediterranean_dw_29	MED12_D	durum_wheat	improved
mediterranean_dw_30	MED13_D	durum_wheat	improved
mediterranean_dw_31	MED14_D	durum_wheat	improved
mediterranean_dw_32	MED15_D	durum_wheat	improved
mediterranean_dw_33	MED16_D	durum_wheat	improved
mediterranean_dw_34	MED17_D	durum_wheat	improved
european_bw_1	TE3_B	bread_wheat	improved
european_bw_2	TE5_B	bread_wheat	improved
european_bw_3	TE6_B	bread_wheat	improved
european_bw_4	UN1_B	bread_wheat	improved
european_bw_5	UN2_B	bread_wheat	improved
european_bw_6	UN3_B	bread_wheat	improved
european_bw_7	UN4_B	bread_wheat	improved
european_bw_8	UN5_B	bread_wheat	improved
european_bw_9	UN6_B	bread_wheat	improved
european_bw_10	UN7_B	bread_wheat	improved
european_bw_11	UN8_B	bread_wheat	improved
